#950 M-BGP deployment cases by Hurricane Electric (AS6939) identified before 20200510.
#Format: 
#border router|peeringASN,<neighbor address list by show ip bgp summary (separated by comma)>|prefix,<Next-hop list by show ip bgp route detail (separated by comma)>
bts1|5578,192.108.148.100,192.108.148.101|194.156.68.0/24,192.108.148.101,192.108.148.100
bts1|6855,192.108.148.30,192.108.148.31|176.107.24.0/24,192.108.148.31,192.108.148.30
bud1|62214,193.188.137.45,193.188.137.46|194.180.19.0/24,193.188.137.46,193.188.137.45
buh1|10310,80.97.248.72,86.104.125.65,86.104.125.67|87.248.104.0/24,86.104.125.65,80.97.248.72
buh1|13335,80.97.248.54,86.104.125.138,217.156.113.95|8.43.226.0/24,80.97.248.54,86.104.125.138
buh1|48571,86.104.125.156,185.1.103.39|91.209.189.0/24,86.104.125.156,185.1.103.39
buh1|8075,80.97.248.52,86.104.125.130,217.156.113.88|52.96.38.0/24,80.97.248.52,217.156.113.88
chi1|10310,206.41.110.39,206.108.115.37|68.180.160.0/24,206.41.110.39,206.108.115.37
chi1|13335,206.41.110.38,206.108.115.16|8.9.230.0/24,206.41.110.38,206.108.115.16
chi1|22822,206.51.43.4,206.108.115.24|69.28.143.0/24,206.108.115.24,206.51.43.4
cph1|12552,192.38.7.68,212.237.192.92,212.237.193.92|194.14.244.0/24,212.237.192.92,192.38.7.68
cph1|13335,192.38.7.70,212.237.192.246|8.43.224.0/24,192.38.7.70,212.237.192.246
cph1|205206,212.237.192.97,212.237.193.97|193.29.201.0/24,212.237.192.97,212.237.193.97
cph1|2119,212.237.192.158,212.237.193.158|91.212.92.0/24,212.237.192.158,212.237.193.158
cph1|25605,192.38.7.56,192.38.7.57|108.171.137.0/24,192.38.7.57,192.38.7.56
cph1|3292,212.237.192.41,212.237.193.41|46.19.16.0/24,212.237.193.41,212.237.192.41
cph1|39351,192.38.7.101,212.237.192.179,212.237.193.179|45.83.222.0/24,192.38.7.101,212.237.192.179
cph1|39651,212.237.192.156,212.237.193.156|77.218.36.0/24,212.237.192.156,212.237.193.156
cph1|39839,192.38.7.17,212.237.192.244|193.163.102.0/24,192.38.7.17,212.237.192.244
cph1|39870,212.237.192.72,212.237.193.72|192.36.134.0/24,212.237.192.72,212.237.193.72
cph1|42541,212.237.192.60,212.237.193.60|193.104.135.0/24,212.237.192.60,212.237.193.60
cph1|42708,212.237.192.194,212.237.193.194|194.68.38.0/24,212.237.192.194,212.237.193.194
cph1|44746,212.237.192.98,212.237.193.98|91.213.179.0/24,212.237.192.98,212.237.193.98
cph1|45011,212.237.192.183,212.237.193.183|89.236.11.0/24,212.237.192.183,212.237.193.183
cph1|48564,212.237.192.234,212.237.193.234|185.245.200.0/24,212.237.193.234,212.237.192.234
cph1|51468,212.237.192.221,212.237.193.221|91.198.169.0/24,212.237.192.221,212.237.193.221
cph1|61955,212.237.192.12,212.237.193.12|185.54.109.0/24,212.237.193.12,212.237.192.12
cph1|714,212.237.192.9,212.237.192.29|17.84.208.0/24,212.237.192.9,212.237.192.29
cph1|8075,212.237.192.181,212.237.193.181|52.96.38.0/24,212.237.192.181,212.237.193.181
cph1|8220,212.237.192.104,212.237.193.104|37.34.68.0/24,212.237.192.104,212.237.193.104
cph1|8674,212.237.192.74,212.237.193.74|194.146.107.0/24,212.237.193.74,212.237.192.74
cpt1|328112,196.10.140.43,196.223.22.74|45.220.62.0/24,196.10.140.43,196.223.22.74
cpt1|328174,196.10.140.124,196.10.140.125|102.165.188.0/24,196.10.140.124,196.10.140.125
cpt1|37153,196.10.140.20,196.10.140.21|129.232.248.0/24,196.10.140.21,196.10.140.20
cpt1|37333,196.10.140.63,196.223.22.65|41.76.36.0/24,196.223.22.65,196.10.140.63
dal1|10310,206.53.174.13,206.53.202.10,206.53.202.12,206.223.118.2,206.223.118.16|68.142.253.0/24,206.53.174.13,206.53.202.10,206.53.202.12
dal1|13335,206.53.174.11,206.53.202.2,206.223.118.145|8.9.231.0/24,206.53.202.2,206.53.174.11,206.223.118.145
dal1|13414,206.53.174.20,206.223.118.139,206.223.118.195|69.195.189.0/24,206.53.174.20,206.223.118.195,206.223.118.139
dal1|14630,206.223.118.4,206.223.118.103|205.174.0.0/24,206.223.118.4,206.223.118.103
dal1|16509,206.223.118.110,206.223.118.150|99.83.255.0/24,206.223.118.150,206.223.118.110
dal1|19679,206.223.118.162,206.223.118.171|162.125.248.0/24,206.223.118.171,206.223.118.162
