#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
ams1|44608,80.249.210.92
ams1|8400,80.249.210.95
ams1|50763,80.249.210.99
ams1|51752,80.249.210.105
ams1|36408,80.249.208.191,80.249.210.106
ams1|286,80.249.210.108
ams1|57112,80.249.210.110
ams1|24218,80.249.210.115
ams1|12329,80.249.210.117
ams1|8632,80.249.210.124
ams1|15802,80.249.210.125
ams1|51468,80.249.210.127
ams1|17451,80.249.210.131
ams1|58601,80.249.210.132
ams1|34019,80.249.210.134
ams1|25091,80.249.210.135
ams1|3302,80.249.210.136
ams1|21320,80.249.210.137
ams1|6677,80.249.210.138
ams1|34868,80.249.210.139
ams1|36236,80.249.210.142
ams1|197985,80.249.210.143
ams1|34762,80.249.210.149
ams1|48283,80.249.210.151
ams1|15447,80.249.210.157
ams1|8866,80.249.210.162
ams1|51185,80.249.210.163
ams1|8932,80.249.210.165
ams1|199332,80.249.210.167
ams1|47622,80.249.210.168
ams1|6717,80.249.210.169
ams1|35574,80.249.210.171
ams1|12637,80.249.210.172
ams1|56583,80.249.210.174
ams1|43350,80.249.208.228,80.249.210.175
ams1|20485,80.249.210.177
ams1|35432,80.249.210.178
ams1|6724,80.249.210.180
ams1|39832,80.249.210.55,80.249.210.187
ams1|43142,80.249.210.190
ams1|9583,80.249.210.192
ams1|49360,80.249.210.193
ams1|43996,80.249.210.198
ams1|20886,80.249.210.203
ams1|36944,80.249.210.204
ams1|13030,80.249.208.210,80.249.210.210
ams1|29990,80.249.210.30,80.249.210.216
ams1|16509,80.249.210.100,80.249.210.217
ams1|62713,80.249.210.220
ams1|4761,80.249.210.222
ams1|37100,80.249.210.223
ams1|201119,80.249.210.224
ams1|8816,80.249.210.226
ams1|60893,80.249.210.227
ams1|25291,80.249.210.228
ams1|35156,80.249.210.232
ams1|1267,80.249.209.236,80.249.210.243
ams1|57928,80.249.210.244
ams1|39179,80.249.210.251
ams1|38082,80.249.210.254
ams1|24429,80.249.211.9
ams1|200052,80.249.211.10
ams1|1820,80.249.211.12
ams1|39737,80.249.211.13
ams1|50300,80.249.211.14
ams1|35745,80.249.211.20
ams1|8452,80.249.211.21
ams1|32590,80.249.211.23
ams1|199939,80.249.211.24,80.249.211.25
ams1|46489,80.249.210.197,80.249.211.27
ams1|61349,80.249.211.28
ams1|47836,80.249.211.31
ams1|20804,80.249.211.34
ams1|16211,80.249.211.36
ams1|36089,80.249.211.37
ams1|12714,80.249.211.41
ams1|30844,80.249.211.45
ams1|30419,80.249.211.46
ams1|43942,80.249.211.49
ams1|109,80.249.211.50
ams1|39651,80.249.211.57
ams1|6507,80.249.211.64,80.249.211.66
ams1|197692,80.249.211.67
ams1|12315,80.249.211.68
ams1|44444,80.249.211.69
